Jump,retOpen,Returns(120mins),Returns(90mins),Returns(60mins),Returns(30mins),Returns(15mins),ATR,EndBars,Target
0.988945,0.627499,0.1175,0.102497,0.004997,0.039997,-0.0275,1.104675,12,2
0.988945,0.615002,0.1175,0.085003,-0.017498,-0.039997,-0.012497,1.104675,11,2
0.988945,0.650002,0.125,0.0275,0.0625,0.022503,0.035,1.104675,10,2
0.988945,0.669998,0.139999,0.037498,0.014999,0.054996,0.019997,1.104675,9,1
0.988945,0.700001,0.077499,0.112499,0.072502,0.049999,0.030003,1.104675,8,1
0.988945,0.702499,0.07,0.047501,0.087498,0.032501,0.002499,1.104675,7,1
0.988945,0.7075,0.119999,0.080002,0.057499,0.0075,0.005001,1.104675,6,1
0.988945,0.762501,0.107502,0.147499,0.092503,0.060001,0.055,1.104675,5,0
0.988945,0.639999,0.012501,-0.010002,-0.060001,-0.067501,-0.122501,1.104675,4,2
0.988945,0.674999,0.059998,0.005001,-0.0275,-0.087502,0.035,1.104675,3,1
0.988945,0.709999,0.059998,0.009998,0.002499,0.07,0.035,1.104675,2,1
0.988945,0.625,-0.044998,-0.077499,-0.137501,-0.049999,-0.084999,1.027256,1,2
1.002817,0.165001,-0.064999,-0.014999,-0.084999,-0.060001,0.002499,1.027256,24,0
1.002817,0.112499,-0.080002,-0.1525,-0.095001,-0.050003,-0.052502,1.027256,23,0
1.002817,-0.067501,-0.247501,-0.317501,-0.292503,-0.232502,-0.18,1.027256,22,1
1.002817,-0.112499,-0.377499,-0.32,-0.275002,-0.224998,-0.044998,1.027256,21,2
1.002817,-0.165001,-0.415001,-0.390003,-0.330002,-0.0975,-0.052502,1.027256,20,2
1.002817,-0.1875,-0.395,-0.350002,-0.299999,-0.075001,-0.022499,1.027256,19,3
1.002817,-0.125,-0.350002,-0.290001,-0.057499,0.040001,0.0625,1.027256,18,2
1.002817,-0.162498,-0.325001,-0.274998,-0.049999,0.025002,-0.037498,1.027256,17,2
1.002817,-0.264999,-0.43,-0.197498,-0.099998,-0.139999,-0.102501,1.027256,16,4
1.002817,-0.264999,-0.377499,-0.1525,-0.077499,-0.102501,0,1.027256,15,4
1.002817,-0.235001,-0.1675,-0.07,-0.110001,0.029999,0.029999,1.027256,14,4
1.002817,-0.299999,-0.1875,-0.112499,-0.137501,-0.035,-0.064999,1.027256,13,4
1.002817,-0.200001,-0.035,-0.075001,0.064999,0.035,0.099998,1.027256,12,3
1.002817,-0.184998,0.002502,-0.022499,0.080002,0.115002,0.015003,1.027256,11,3
1.002817,-0.189999,-0.064999,0.075001,0.045002,0.010002,-0.005001,1.027256,10,3
1.002817,-0.264999,-0.102501,0,0.035,-0.080002,-0.075001,1.027256,9,4
